時間 (s),位移 (in),速度 (in/s),加速度 (in/s²),彈簧力 (k)
0.5850,0.6022,7.2985,-398.7426,380.3996
0.5900,0.6336,5.2679,-413.4832,400.2435
0.5950,0.6548,3.1803,-421.5772,413.5843
0.6000,0.6654,1.0689,-422.9807,420.2943
0.6050,0.6655,-1.0330,-417.7549,420.3510
0.6100,0.6552,-3.0925,-406.0641,413.8364
0.6150,0.6347,-5.0781,-388.1714,400.9340
0.6200,0.6046,-6.9596,-364.4337,381.9250
0.6250,0.5655,-8.7089,-335.2946,357.1824
0.6300,0.5180,-10.3004,-301.2769,327.1644
0.6350,0.4629,-11.7110,-262.9730,292.4058
0.6400,0.4013,-12.9210,-221.0349,253.5088
0.6450,0.3343,-13.9140,-176.1635,211.1330
0.6500,0.2628,-14.6771,-129.0965,165.9841
0.6550,0.1881,-15.2014,-80.5971,118.8021
0.6600,0.1114,-15.4815,-31.4410,70.3501
0.6650,0.0339,-15.5161,17.5950,21.4011
0.6700,-0.0432,-15.3077,65.7460,-27.2736
0.6750,-0.1186,-14.8627,112.2704,-74.9165
0.6800,-0.1912,-14.1909,156.4611,-120.7957
0.6850,-0.2600,-13.3056,197.6564,-164.2160
0.6900,-0.3238,-12.2233,235.2497,-204.5293
0.6950,-0.3818,-10.9634,268.6981,-241.1440
0.7000,-0.4330,-9.5479,297.5303,-273.5339
0.7050,-0.4769,-8.0007,321.3530,-301.2453
0.7100,-0.5128,-6.3476,339.8563,-323.9030
0.7150,-0.5402,-4.6160,352.8170,-341.2159
0.7200,-0.5588,-2.8337,360.1015,-352.9797
0.7250,-0.5685,-1.0292,361.6665,-359.0797
0.7300,-0.5691,0.7688,357.5587,-359.4909
0.7350,-0.5609,2.5325,347.9129,-354.2777
0.7400,-0.5440,4.2347,332.9487,-343.5915
0.7450,-0.5187,5.8494,312.9662,-327.6674
0.7500,-0.4857,7.3527,288.3403,-306.8196
0.7550,-0.4456,8.7223,259.5135,-281.4350
0.7600,-0.3989,9.9386,226.9887,-251.9671
0.7650,-0.3466,10.9844,191.3204,-218.9271
0.7700,-0.2895,11.8454,153.1052,-182.8759
0.7750,-0.2286,12.5106,112.9721,-144.4146
0.7800,-0.1649,12.9720,71.5723,-104.1744
0.7850,-0.0994,13.2248,29.5688,-62.8063
0.7900,-0.0332,13.2678,-12.3745,-20.9710
0.7950,0.0327,13.1029,-53.6027,20.6716
0.8000,0.0973,12.7352,-93.4801,61.4732
0.8050,0.1596,12.1730,-131.4002,100.8063
0.8100,0.2186,11.4275,-166.7947,138.0744
0.8150,0.2734,10.5127,-199.1417,172.7206
0.8200,0.3233,9.4449,-227.9735,204.2360
0.8250,0.3676,8.2427,-252.8831,232.1670
0.8300,0.4055,6.9267,-273.5300,256.1214
0.8350,0.4366,5.5188,-289.6444,275.7743
0.8400,0.4605,4.0421,-301.0308,290.8720
0.8450,0.4769,2.5206,-307.5701,301.2353
0.8500,0.4857,0.9786,-309.2203,306.7609
0.8550,0.4867,-0.5595,-306.0165,307.4226
0.8600,0.4801,-2.0697,-298.0690,303.2708
0.8650,0.4661,-3.5288,-285.5613,294.4300
0.8700,0.4450,-4.9146,-268.7454,281.0969
0.8750,0.4172,-6.2063,-247.9378,263.5358
0.8800,0.3832,-7.3849,-223.5134,242.0736
0.8850,0.3437,-8.4334,-195.8991,217.0945
