Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
0.01,0.005283627741000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.005259905199,-2.634787894390954e-07,-5.269575788781908e-05,4.381362436184713e-06,-3.9909386556140026e-10,-7.981877311228006e-08,-1.596375462245601e-05,-2.638778833046568e-07,-1.158239218627087e-05
0.03,0.005228682912000001,-1.0523109399165623e-06,-0.00010507067220767428,9.223884592774942e-06,-2.397675344930556e-09,-3.1989752276155103e-07,-3.205199530739819e-05,-1.0547086152614929e-06,-2.2828110714623144e-05
0.04,0.0051944234490000005,-2.3630017354937843e-06,-0.00015706748690777012,1.4519536388064337e-05,-7.60406371720398e-09,-7.213801516931339e-07,-4.824453047891839e-05,-2.3706057992109885e-06,-3.372499409085364e-05
0.05,0.005170694040000001,-4.191934871953771e-06,-0.0002087191403842273,2.0267257320502607e-05,-1.7637684838119296e-08,-1.2853440724899291e-06,-6.454825368044066e-05,-4.2095725567918905e-06,-4.428099635993797e-05
0.06,0.005148496953,-6.535937664381998e-06,-0.000260081418101418,2.6468192241356492e-05,-3.412925996575343e-08,-2.0129709530368976e-06,-8.097712242895305e-05,-6.570066924347752e-06,-5.4508930187596207e-05
0.07,0.005102914788,-9.391547686402471e-06,-0.0003110405863026766,3.310990850693366e-05,-5.872074699995964e-08,-2.9053264538043443e-06,-9.749397772453633e-05,-9.450268433402431e-06,-6.43840692176028e-05
0.08,0.0050461796340000005,-1.2753848820758262e-05,-0.0003614196405684816,4.0173660332062586e-05,-9.306241139633611e-08,-3.9630064254709485e-06,-0.00011404201660878454,-1.2846911232154598e-05,-7.386835627672204e-05
0.09,0.0050131169910000006,-1.6617331834675627e-05,-0.00041127696221499125,4.765863536600624e-05,-1.3880940118886345e-07,-5.186391533034519e-06,-0.0001306350049039296,-1.675614123586449e-05,-8.297636953792306e-05
0.1,0.005003624835,-2.097793906175176e-05,-0.0004608444832002353,5.557899358518258e-05,-1.976226801462183e-07,-6.576264258436451e-06,-0.0001473395401764569,-2.117556174189798e-05,-9.17605465912746e-05
0.11,0.005006382426,-2.5833645943327274e-05,-0.0005102968931148676,6.394628448837605e-05,-2.7117395782174263e-07,-8.133991276668417e-06,-0.0001642058634699362,-2.6104819901149018e-05,-0.00010025957898155986
0.12,0.004964629104,-3.118247287126891e-05,-0.0005594684924734596,7.27453737932246e-05,-3.6114856305163826e-07,-9.860929769310708e-06,-0.0001811818350585219,-3.1543621434320546e-05,-0.00010843646126529761
0.13,0.004900030254,-3.7019907020055e-05,-0.000608018337283759,8.194502214691445e-05,-4.6924144479284103e-07,-1.1757646578929847e-05,-0.00019816152686530567,-3.7489148464847844e-05,-0.00011621650471839093
0.14,0.00488213289,-4.334030712681574e-05,-0.0006560616840683888,9.154876492711069e-05,-5.971513432843239e-07,-1.3824333119366738e-05,-0.00021517578122207259,-4.393745847010006e-05,-0.0001236270162949622
