方向,站序,站牌名稱,站牌ID,緯度,經度,預估時間
返程,37,財元廣場,2424900660,25.044839,121.453317,11分鐘
返程,38,新莊田徑場(中和里),2424200760,25.043614,121.4518908,12分鐘
返程,39,新莊體育場(立功里),2424201160,25.042656,121.4481033,13分鐘
返程,40,新莊棒球場(立功里立德里),2424201060,25.042053,121.4467068,進站中
返程,41,新泰國中南站,2424200441,25.040249,121.44583,進站中
返程,42,材試所,2424200140,25.039119,121.446484,進站中
返程,43,新泰中正路口,2424200640,25.036201,121.448147,3分鐘
返程,44,海山里,2314801440,25.034808,121.445934,進站中
返程,45,盲人重建院,2425500260,25.0337,121.4406316,3分鐘
返程,46,捷運輔大站(建國一路),2425701140,25.031472,121.43385,4分鐘
返程,47,建國一路,2425700440,25.029839,121.4345539,進站中
返程,48,建國後港路口,2425702040,25.027194,121.43477,進站中
返程,49,建國二路口,2426201140,25.024483,121.434908,進站中
返程,50,新樹民安路口(新泰醫院),2426201240,25.021698,121.4345132,5分鐘
返程,51,西盛,2426200540,25.019241,121.433249,6分鐘
返程,52,東方之星,2426200940,25.015089,121.4326327,7分鐘
返程,53,西盛館,2426200840,25.013078,121.432578,8分鐘
返程,54,家麒新天地,2426200740,25.010087,121.432644,9分鐘
返程,55,正豐,2426200240,25.007493,121.432786,10分鐘
返程,56,大安變電所(大安路),2426201760,25.005292,121.4314169,12分鐘
返程,57,三重客運新莊站,2387801040,25.005452,121.427285,進站中
