stop_id,arrival_info,stop_number,stop_name,latitude,longitude,direction,route_id
1149400320,進站中,29,民權大橋,25.066876,121.5794778,come,0100000A00
1149401020,進站中,30,時報廣場,25.068084,121.5821211,come,0100000A00
1146600020,3分鐘,31,三民國中,25.068803,121.5854057,come,0100000A00
1146600120,5分鐘,32,內湖行政大樓,25.068934,121.5889192,come,0100000A00
1147200100,8分鐘,33,國防醫學中心,25.07121,121.5900311,come,0100000A00
1149000200,9分鐘,34,三總內湖站,25.071852,121.592095,come,0100000A00
1147200200,13分鐘,35,將軍嶺,25.073809,121.5900167,come,0100000A00
1146200000,14分鐘,36,方濟中學,25.076884,121.5902313,come,0100000A00
1147500060,15分鐘,37,內湖高中,25.079013,121.5883097,come,0100000A00
1147500260,16分鐘,38,捷運文德站(碧湖公園),25.078585,121.584249,come,0100000A00
1147300060,17分鐘,39,湖光國宅,25.07859,121.58078,come,0100000A00
1144700061,19分鐘,40,西湖圖書館(湖光教會),25.07889,121.578499,come,0100000A00
1144800240,21分鐘,41,港墘派出所,25.078636,121.57619,come,0100000A00
1149100230,26分鐘,42,瑞光路,25.074821,121.577343,come,0100000A00
1149100040,29分鐘,43,公館山,25.071988,121.5809507,come,0100000A00
1149100340,30分鐘,44,麗寶大樓,25.070391,121.582671,come,0100000A00
1149400261,3分鐘,45,瑞湖街口,25.067659,121.576798,come,0100000A00
1004801100,,46,捷運台大醫院站,25.041927,121.5163535,come,0100000A00
1004700200,,47,博物館(館前),25.044177,121.5150573,come,0100000A00
1004100720,,48,臺北車站(忠孝),25.046563,121.5156894,come,0100000A00
1065000320,,1,信義永康街口(捷運東門站),25.033693,121.529727,go,0100000B00
1065000240,,2,金華新生路口,25.03087,121.53346,go,0100000B00
1064400040,,3,和平新生路口,25.02639,121.53478,go,0100000B00
1066000240,,4,龍安國小(公務人力發展學院),25.024664,121.5345198,go,0100000B00
1066000140,,5,臺大綜合體育館,25.02155,121.5341136,go,0100000B00
1067300840,,6,臺大,25.018239,121.533435,go,0100000B00
1009000140,,7,捷運公館站,25.014321,121.534722,go,0100000B00
1167700041,,8,師大分部,25.00814,121.538064,go,0100000B00
1168100020,,9,武功國小(興隆),25.004127,121.5398685,go,0100000B00
1168000020,,10,景明街口,25.001631,121.5422579,go,0100000B00
1168000140,,11,憲光公寓,24.999433,121.5438916,go,0100000B00
1168700320,,12,靜心高中,24.998797,121.545859,go,0100000B00
1168700020,,13,興隆市場,24.999632,121.547902,go,0100000B00
1168900420,,14,興德國小,25.00097,121.5503078,go,0100000B00
1169000020,,15,興隆國小,25.001221,121.5533283,go,0100000B00
1169500121,,16,捷運萬芳醫院站,24.999051,121.557681,go,0100000B00
1169800240,,17,臺灣警察專科學校,24.998268,121.5584948,go,0100000B00
1169600020,,18,文山運動中心(萬芳),24.996958,121.56078,go,0100000B00
1169600320,,19,棕櫚泉社區,24.99729,121.56229,go,0100000B00
1165300220,,20,萬利街口,24.998733,121.56623,go,0100000B00
1165300120,,21,捷運萬芳社區站,24.998858,121.5680836,go,0100000B00
1165300500,,22,萬芳6號公園,24.999654,121.569055,go,0100000B00
1165300460,,23,萬芳國小,25.001533,121.567472,go,0100000B00
1166500420,,24,萬芳活動中心,25.002391,121.5683789,go,0100000B00
1165300320,,25,萬芳社區,25.002253,121.5698159,go,0100000B00
1064200000,3分鐘,26,公企中心,25.03066,121.52673,go,0100000B00
1065000500,4分鐘,27,捷運東門站(金山),25.033211,121.5272129,go,0100000B00
1065000320,7分鐘,1,信義永康街口(捷運東門站),25.033693,121.529727,come,0100000B00
1065000240,11分鐘,2,金華新生路口,25.03087,121.53346,come,0100000B00
1064400040,12分鐘,3,和平新生路口,25.02639,121.53478,come,0100000B00
1066000240,14分鐘,4,龍安國小(公務人力發展學院),25.024664,121.5345198,come,0100000B00
1066000140,15分鐘,5,臺大綜合體育館,25.02155,121.5341136,come,0100000B00
1067300840,16分鐘,6,臺大,25.018239,121.533435,come,0100000B00
1009000140,18分鐘,7,捷運公館站,25.014321,121.534722,come,0100000B00
1167700041,20分鐘,8,師大分部,25.00814,121.538064,come,0100000B00
1168100020,22分鐘,9,武功國小(興隆),25.004127,121.5398685,come,0100000B00
1168000020,24分鐘,10,景明街口,25.001631,121.5422579,come,0100000B00
1168000140,24分鐘,11,憲光公寓,24.999433,121.5438916,come,0100000B00
1168700320,26分鐘,12,靜心高中,24.998797,121.545859,come,0100000B00
1168700020,27分鐘,13,興隆市場,24.999632,121.547902,come,0100000B00
1168900420,28分鐘,14,興德國小,25.00097,121.5503078,come,0100000B00
1169000020,進站中,15,興隆國小,25.001221,121.5533283,come,0100000B00
1169500121,4分鐘,16,捷運萬芳醫院站,24.999051,121.557681,come,0100000B00
1169800240,6分鐘,17,臺灣警察專科學校,24.998268,121.5584948,come,0100000B00
1169600020,8分鐘,18,文山運動中心(萬芳),24.996958,121.56078,come,0100000B00
1169600320,9分鐘,19,棕櫚泉社區,24.99729,121.56229,come,0100000B00
1165300220,10分鐘,20,萬利街口,24.998733,121.56623,come,0100000B00
1165300120,10分鐘,21,捷運萬芳社區站,24.998858,121.5680836,come,0100000B00
1165300500,11分鐘,22,萬芳6號公園,24.999654,121.569055,come,0100000B00
1165300460,12分鐘,23,萬芳國小,25.001533,121.567472,come,0100000B00
1166500420,13分鐘,24,萬芳活動中心,25.002391,121.5683789,come,0100000B00
1165300320,14分鐘,25,萬芳社區,25.002253,121.5698159,come,0100000B00
1064200000,,26,公企中心,25.03066,121.52673,come,0100000B00
1065000500,,27,捷運東門站(金山),25.033211,121.5272129,come,0100000B00
1104600200,,1,松仁路,25.02453,121.5695997,go,0100000100
1104600000,,2,吳興國小(松仁),25.026234,121.568628,go,0100000100
1105000200,,3,信義國中(莊敬),25.027607,121.56521,go,0100000100
1105000300,,4,臺北醫學大學,25.028241,121.5634888,go,0100000100
1104900400,,5,景新里,25.029526,121.5623852,go,0100000100
1104900100,,6,世貿中心(莊敬),25.031399,121.561326,go,0100000100
1105200040,,7,吳興街口,25.031594,121.5586001,go,0100000100
1067700140,,8,三興國小(臨江街觀光夜市),25.028215,121.556522,go,0100000100
1067500340,,9,喬治商職,25.02633,121.5546403,go,0100000100
1067500240,,10,捷運六張犁站(基隆路),25.023428,121.551345,go,0100000100
1105200140,,11,和平高中,25.02024,121.54763,go,0100000100
1067200460,,12,基隆長興街口,25.018512,121.5456371,go,0100000100
1067200760,,13,臺大癌醫(基隆路),25.015713,121.5422472,go,0100000100
1060700060,,14,臺灣科技大學,25.014151,121.540464,go,0100000100
1067300060,,15,公館,25.012108,121.5380694,go,0100000100
1009000160,,16,捷運公館站,25.015228,121.534086,go,0100000100
1067300200,,17,台電大樓,25.018486,121.530566,go,0100000100
1064700300,,18,捷運台電大樓站,25.02092,121.52803,go,0100000100
1064600300,,19,羅斯福浦城街口,25.022311,121.5265002,go,0100000100
1008400300,,20,羅斯福金門街口,25.024106,121.5246768,go,0100000100
1008400200,,21,捷運古亭站(羅斯福),25.02678,121.52269,go,0100000100
1064200100,,22,捷運古亭站(杭州),25.02886,121.5219375,go,0100000100
1007800060,,23,南福板溪(南昌公園),25.02681,121.52053,go,0100000100
1007800300,,24,牯嶺街,25.02814,121.51789,go,0100000100
1007600100,,25,自來水西分處(牯嶺),25.029865,121.5166342,go,0100000100
1007500200,,26,牯嶺街小劇場,25.03176,121.51518,go,0100000100
1006600560,,27,建國中學(歷史博物館),25.031565,121.512879,go,0100000100
1007000260,,28,植物園,25.03088,121.508711,go,0100000100
1006600360,,29,和平中華路口,25.033191,121.50578,go,0100000100
1085100060,,30,昆明街口,25.035341,121.5020082,go,0100000100
1085200360,,31,捷運龍山寺站,25.03538,121.49971,go,0100000100
1085500160,,32,中國時報,25.035454,121.4969752,go,0100000100
1088300140,,33,華江派出所,25.034006,121.493016,go,0100000100
1085800140,,34,大理高中,25.03162,121.490827,go,0100000100
1085800060,,35,人壽一村,25.032073,121.4895177,go,0100000100
1085800360,,36,華江站,25.032333,121.4889822,go,0100000100
1104600200,進站中,1,松仁路,25.02453,121.5695997,come,0100000100
1104600000,3分鐘,2,吳興國小(松仁),25.026234,121.568628,come,0100000100
1105000200,5分鐘,3,信義國中(莊敬),25.027607,121.56521,come,0100000100
1105000300,6分鐘,4,臺北醫學大學,25.028241,121.5634888,come,0100000100
1104900400,8分鐘,5,景新里,25.029526,121.5623852,come,0100000100
1104900100,9分鐘,6,世貿中心(莊敬),25.031399,121.561326,come,0100000100
1105200040,5分鐘,7,吳興街口,25.031594,121.5586001,come,0100000100
1067700140,進站中,8,三興國小(臨江街觀光夜市),25.028215,121.556522,come,0100000100
1067500340,3分鐘,9,喬治商職,25.02633,121.5546403,come,0100000100
1067500240,6分鐘,10,捷運六張犁站(基隆路),25.023428,121.551345,come,0100000100
1105200140,9分鐘,11,和平高中,25.02024,121.54763,come,0100000100
1067200460,進站中,12,基隆長興街口,25.018512,121.5456371,come,0100000100
1067200760,進站中,13,臺大癌醫(基隆路),25.015713,121.5422472,come,0100000100
1060700060,進站中,14,臺灣科技大學,25.014151,121.540464,come,0100000100
1067300060,進站中,15,公館,25.012108,121.5380694,come,0100000100
1009000160,4分鐘,16,捷運公館站,25.015228,121.534086,come,0100000100
1067300200,6分鐘,17,台電大樓,25.018486,121.530566,come,0100000100
1064700300,7分鐘,18,捷運台電大樓站,25.02092,121.52803,come,0100000100
1064600300,9分鐘,19,羅斯福浦城街口,25.022311,121.5265002,come,0100000100
1008400300,9分鐘,20,羅斯福金門街口,25.024106,121.5246768,come,0100000100
1008400200,10分鐘,21,捷運古亭站(羅斯福),25.02678,121.52269,come,0100000100
1064200100,12分鐘,22,捷運古亭站(杭州),25.02886,121.5219375,come,0100000100
1007800060,17分鐘,23,南福板溪(南昌公園),25.02681,121.52053,come,0100000100
1007800300,18分鐘,24,牯嶺街,25.02814,121.51789,come,0100000100
1007600100,19分鐘,25,自來水西分處(牯嶺),25.029865,121.5166342,come,0100000100
1007500200,20分鐘,26,牯嶺街小劇場,25.03176,121.51518,come,0100000100
1006600560,23分鐘,27,建國中學(歷史博物館),25.031565,121.512879,come,0100000100
1007000260,26分鐘,28,植物園,25.03088,121.508711,come,0100000100
1006600360,27分鐘,29,和平中華路口,25.033191,121.50578,come,0100000100
1085100060,進站中,30,昆明街口,25.035341,121.5020082,come,0100000100
1085200360,3分鐘,31,捷運龍山寺站,25.03538,121.49971,come,0100000100
1085500160,進站中,32,中國時報,25.035454,121.4969752,come,0100000100
1088300140,4分鐘,33,華江派出所,25.034006,121.493016,come,0100000100
1085800140,5分鐘,34,大理高中,25.03162,121.490827,come,0100000100
1085800060,6分鐘,35,人壽一村,25.032073,121.4895177,come,0100000100
1085800360,6分鐘,36,華江站,25.032333,121.4889822,come,0100000100
1004801100,,1,捷運台大醫院站,25.041927,121.5163535,go,0100000200
1004100820,,2,臺北車站(青島),25.044844,121.517704,go,0100000200
1004100500,,3,行政院,25.046578,121.5202398,go,0100000200
1035100460,,4,臺北車站(鄭州),25.048809,121.5174713,go,0100000200
1034900100,,5,後車站,25.050269,121.5135627,go,0100000200
1035000300,,6,圓環(重慶),25.052844,121.514207,go,0100000200
1035600000,,7,民生重慶路口,25.056766,121.5138258,go,0100000200
1035800300,,8,涼州重慶路口,25.060669,121.5135455,go,0100000200
1035900000,,9,捷運大橋頭站,25.062704,121.513583,go,0100000200
1036300200,,10,昌吉重慶路口,25.065794,121.5137575,go,0100000200
1036900020,,11,民族重慶路口,25.068586,121.5143308,go,0100000200
1036400420,,12,蘭州國中,25.068512,121.5161869,go,0100000200
1036500001,,13,民族承德路口,25.069322,121.518574,go,0100000200
1036700360,,14,庫倫街,25.072013,121.5176838,go,0100000200
1036700060,,15,大龍峒保安宮,25.07209,121.515621,go,0100000200
1037300160,,16,酒泉重慶路口,25.072042,121.514591,go,0100000200
1037300260,,17,酒泉街,25.072185,121.5135209,go,0100000200
1037300060,,18,老師里,25.072183,121.511508,go,0100000200
1037200000,,19,污水處理廠,25.075572,121.5118974,go,0100000200
1116500300,,20,社子消防分隊,25.079411,121.5112234,go,0100000200
1116500400,,21,海光新村,25.080711,121.5107623,go,0100000200
1116501000,,22,葫蘆堵市場,25.083057,121.5102329,go,0100000200
1117300200,,23,葫蘆寺(葫蘆里),25.086022,121.5096458,go,0100000200
1117200100,,24,社子市場,25.087505,121.5090743,go,0100000200
1117200600,,25,社園里,25.089056,121.5079873,go,0100000200
1117200360,,26,社子派出所,25.089599,121.5064251,go,0100000200
1117200760,,27,永倫里(南),25.089467,121.503968,go,0100000200
1117200400,,28,社子國小,25.089904,121.5025776,go,0100000200
1117500100,,29,永倫里(延平),25.091148,121.500682,go,0100000200
1117500500,,30,洲美橋,25.092658,121.4992219,go,0100000200
1117400300,,31,中窟,25.09534,121.49649,go,0100000200
1117200900,,32,福安里,25.09636,121.49544,go,0100000200
1117201000,,33,福安區民活動中心,25.09717,121.49455,go,0100000200
1117200000,,34,下竹圍,25.0982,121.49333,go,0100000200
1117400500,,35,地藏禪寺,25.099749,121.4915352,go,0100000200
1117402000,,36,臨江園,25.10163,121.48928,go,0100000200
1117401900,,37,福安國中,25.10333,121.48729,go,0100000200
1117401600,,38,富洲里八段,25.10576,121.48446,go,0100000200
1117401360,,39,富安國小,25.10596,121.4833,go,0100000200
1117400960,,40,建安新村,25.10601,121.48116,go,0100000200
1117400160,,41,下溪沙尾,25.10597,121.47884,go,0100000200
1117400800,,42,威靈廟,25.105957,121.4764835,go,0100000200
1117401500,,43,富洲里九段,25.106223,121.4742815,go,0100000200
1117401100,,44,浮線,25.106667,121.4725864,go,0100000200
1117400400,,45,台北海大,25.108525,121.4706761,go,0100000200
1117401460,,46,富洲里,25.109244,121.468346,go,0100000200
1004801100,6分鐘,1,捷運台大醫院站,25.041927,121.5163535,come,0100000200
1004100820,6分鐘,2,臺北車站(青島),25.044844,121.517704,come,0100000200
1004100500,10分鐘,3,行政院,25.046578,121.5202398,come,0100000200
