Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
0.01,0.005283627741000001,0.0,0.0,-0.005283627741000001,0.0,0.0,0.0,0.0,-0.005283627741000001
0.02,0.005259905199,-2.6355248894662255e-07,-5.271049778932451e-05,-0.005258471816864902,-2.0369845708973112e-10,-4.073969141794622e-08,-8.147938283589244e-06,-2.637561874037123e-07,-0.005266619755148491
0.03,0.005228682912000001,-1.0527534771972386e-06,-0.00010512969986079868,-0.005225368597429934,-1.2309384533044368e-09,-1.6470830782499495e-07,-1.66457849978205e-05,-1.053984415650543e-06,-0.005242014382427754
0.04,0.0051944234490000005,-2.3644043097483e-06,-0.00015720046664941358,-0.005188784760293045,-3.931197876455196e-09,-3.7534357680515694e-07,-2.5481268798211905e-05,-2.368335507624755e-06,-0.005214266029091257
0.05,0.005170694040000001,-4.195185837402955e-06,-0.00020895583888151748,-0.005162289686127732,-9.188055578867119e-09,-6.760279636772277e-07,-3.4655608576202236e-05,-4.204373892981822e-06,-0.0051969452947039346
0.06,0.005148496953,-6.542223640544747e-06,-0.0002604517217468409,-0.005136886886936954,-1.791907005970428e-08,-1.070174932490205e-06,-4.41737851863932e-05,-6.560142710604451e-06,-0.005181060672123347
0.07,0.005102914788,-9.402354638554397e-06,-0.00031157447785508917,-0.005087664334712688,-3.107553826947748e-08,-1.5611187094644351e-06,-5.4014970208452845e-05,-9.433430176823875e-06,-0.00514167930492114
0.08,0.0050461796340000005,-1.2770962580372897e-05,-0.0003621471105086109,-0.005026862195991653,-4.964079132760341e-08,-2.1519319021607508e-06,-6.414766833081028e-05,-1.28206033717005e-05,-0.005091009864322463
0.09,0.0050131169910000006,-1.6642837969820287e-05,-0.00041222796738086707,-0.004989309178459586,-7.462818753124199e-08,-2.8455473385669663e-06,-7.457541895043281e-05,-1.671746615735153e-05,-0.005063884597410018
0.1,0.005003624835,-2.101422290410575e-05,-0.0004620490194762253,-0.004974901240612054,-1.0708127197300037e-07,-3.6450695497847104e-06,-8.532902329311603e-05,-2.112130417607875e-05,-0.00506023026390517
0.11,0.005006382426,-2.588339350924982e-05,-0.0005117851015525888,-0.004972315174660632,-1.4807599739712173e-07,-4.553875535039562e-06,-9.643217375785424e-05,-2.603146950664694e-05,-0.005068747348418486
0.12,0.004964629104,-3.1248672294120645e-05,-0.0005612706554215765,-0.0049247955991369085,-1.9872198797038496e-07,-5.575322579613084e-06,-0.00010785723515685001,-3.144739428209103e-05,-0.0050326528342937585
0.13,0.004900030254,-3.710584922277515e-05,-0.0006101647303093239,-0.004854019378412574,-2.6016034954596257e-07,-6.71234973550244e-06,-0.00011954819602102114,-3.736600957232111e-05,-0.004973567574433595
0.14,0.00488213289,-4.344958539905006e-05,-0.0006585825049456586,-0.004829535548854367,-3.335604762685551e-07,-7.967675609016062e-06,-0.00013151697868170334,-4.378314587531862e-05,-0.00496105252753607
0.15,0.004893647868000001,-5.027700005945527e-05,-0.0007069004271353832,-0.004834048889090539,-4.201205754238376e-07,-9.344344222040443e-06,-0.00014381674392317277,-5.0697120634879106e-05,-0.0049778656330137115
0.16,0.004961248578000001,-5.758921110767597e-05,-0.0007555417825087573,-0.004894222185584294,-5.210722037350211e-07,-1.0845981440196267e-05,-0.000156510699707992,-5.811028331141099e-05,-0.005050732885292286
0.17,0.005060384514,-6.539162174706879e-05,-0.0008049403453698053,-0.004985490386625304,-6.376864562480389e-07,-1.247686906240729e-05,-0.0001696668247342125,-6.602930820331682e-05,-0.005155157211359516
0.18,0.004994705583,-7.368845033897954e-05,-0.0008544253730123463,-0.004911515141882892,-7.712764570062275e-07,-1.4241131089230416e-05,-0.0001831855806304129,-7.445972679598577e-05,-0.005094700722513305
0.19,0.004788756405,-8.24729139967495e-05,-0.0009024673585416436,-0.004696881963976587,-9.231881477685708e-07,-1.6141207063238253e-05,-0.00019682961417115437,-8.339610214451806e-05,-0.004893711578147741
0.2,0.0046710883980000005,-9.172926368025911e-05,-0.0009488025781602793,-0.004570161959750538,-1.0947846024839992e-06,-1.8178083879847425e-05,-0.00021054574915068067,-9.282404828274311e-05,-0.004780707708901219
0.21,0.004634162577,-0.00010144463871234346,-0.000994272428256591,-0.0045238080595117825,-1.2874403268059117e-06,-2.0353060984535076e-05,-0.00022444967178684948,-0.00010273207903914938,-0.0047482577312986315
0.22,0.004591340946000001,-0.00011161223768934709,-0.0010392473671441346,-0.004471179717996951,-1.5025469432597991e-06,-2.26682623062424e-05,-0.00023859059255461554,-0.00011311478463260688,-0.004709770310551567
0.23,0.004544607087,-0.00012222684751065496,-0.0010836745971174405,-0.004414266276664227,-1.7415182078694046e-06,-2.512599061567869e-05,-0.0002529550693326425,-0.00012396836571852436,-0.004667221345996869
0.24,0.004644801522,-0.00013328654748113585,-0.0011282653969787368,-0.004503893695595027,-2.0057931748758616e-06,-2.7729002785612715e-05,-0.00026764736465416253,-0.00013529234065601172,-0.00477154106024919
0.25,0.004831198389000001,-0.000144798781372282,-0.0011741813812504933,-0.0046793031587562895,-2.2968455537115684e-06,-3.048147298152864e-05,-0.0002828466745290223,-0.00014709562692599357,-0.004962149833285311
0.26,0.0048462989219999995,-0.0001567746526683052,-0.001220992877954149,-0.004682996181974894,-2.6161938227427156e-06,-3.33881808247008e-05,-0.0002984948941054098,-0.00015939084649104791,-0.004981491076080305
0.27,0.004632306525,-0.00016921308692811925,-0.001266693974008659,-0.004457223028927129,-2.96539517816597e-06,-3.645209025995004e-05,-0.00031428699294443847,-0.00017217848210628522,-0.004771510021871567
0.28,0.00431341776,-0.00018209461312926846,-0.0013096112662211827,-0.004126235413577615,-3.3460221122770246e-06,-3.967329656226092e-05,-0.0003299542675177362,-0.0001854406352415455,-0.004456189681095351
0.29,0.004159211427,-0.0001953928723817529,-0.0013500405842757045,-0.003959628197326739,-3.7596419316654208e-06,-4.305066731541829e-05,-0.0003455198831137387,-0.00019915251431341832,-0.004305148080440477
