"tablescraper-selected-row href","name","tablescraper-selected-row","tablescraper-selected-row 3"
"https://twcoupon.com/brandshop-17256-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%a4%a7%e6%ad%a6%e5%b6%ba%e9%96%80%e5%b8%82.html","大武嶺門市","基隆市安樂區大武嶺里基金一路135巷21弄2-1號","02-24348246"
"https://twcoupon.com/brandshop-16246-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%ae%89%e4%b8%80%e9%96%80%e5%b8%82.html","安一門市","基隆市安樂區安一路172及174號","02-24260343"
"https://twcoupon.com/brandshop-18193-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%96%b0%e9%95%b7%e5%9f%ba%e9%96%80%e5%b8%82.html","新長基門市","基隆市安樂區安樂路二段161號","02-24336241"
"https://twcoupon.com/brandshop-15983-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%ad%a6%e8%a8%93%e9%96%80%e5%b8%82.html","武訓門市","基隆市安樂區武訓街102號1樓","02-24329441"
"https://twcoupon.com/brandshop-18184-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%96%b0%e6%ad%a6%e5%b6%ba%e9%96%80%e5%b8%82.html","新武嶺門市","基隆市安樂區基金一路168之26號","02-24334459"
"https://twcoupon.com/brandshop-17255-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%a4%a7%e6%ad%a6%e5%b4%99%e9%96%80%e5%b8%82.html","大武崙門市","基隆市安樂區基金一路381號383號1樓","02-24345690"
"https://twcoupon.com/brandshop-18528-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e7%91%9e%e9%87%91%e9%96%80%e5%b8%82.html","瑞金門市","基隆市安樂區基金三路75號75之1號1樓","02-24344408"
"https://twcoupon.com/brandshop-17569-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e9%ba%a5%e9%87%91%e9%96%80%e5%b8%82.html","麥金門市","基隆市安樂區基金三路80號80-1號1樓","02-34011778"
"https://twcoupon.com/brandshop-18190-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%96%b0%e9%87%91%e6%a8%82%e9%96%80%e5%b8%82.html","新金樂門市","基隆市安樂區麥金路427號","02-34010954"
"https://twcoupon.com/brandshop-18137-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%96%b0%e5%a3%af%e8%a7%80%e9%96%80%e5%b8%82.html","新壯觀門市","基隆市安樂區麥金路64號66號1樓","02-24335384"
"https://twcoupon.com/brandshop-15659-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%9d%a4%e6%b5%b7%e9%96%80%e5%b8%82.html","坤海門市","基隆市信義區東明路69號1樓","02-24658451"
"https://twcoupon.com/brandshop-14995-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e5%b4%87%e4%bf%a1%e9%96%80%e5%b8%82.html","崇信門市","基隆市信義區東信路212-4及214號1樓","02-24657622"
"https://twcoupon.com/brandshop-15203-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e4%bf%a1%e4%ba%8c%e9%96%80%e5%b8%82.html","信二門市","基隆市信義區信二路167號","02-24287557"
"https://twcoupon.com/brandshop-15913-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%9d%b0%e6%98%95%e9%96%80%e5%b8%82.html","杰昕門市","基隆市信義區信二路243號245號","02-24236427"
"https://twcoupon.com/brandshop-17447-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%b7%b1%e7%be%8e%e9%96%80%e5%b8%82.html","深美門市","基隆市信義區深美街196號","02-24664831"
"https://twcoupon.com/brandshop-18383-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%96%b0%e7%a6%8f%e6%a8%82%e9%96%80%e5%b8%82.html","新福樂門市","基隆市信義區深溪路43號45號1樓","02-24683607"
"https://twcoupon.com/brandshop-18758-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%bb%bf%e7%a6%8f%e9%96%80%e5%b8%82.html","滿福門市","基隆市信義區深澳坑路166之30號1樓","02-24684530"
"https://twcoupon.com/brandshop-17448-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%b7%b1%e6%be%b3%e5%9d%91%e9%96%80%e5%b8%82.html","深澳坑門市","基隆市信義區深澳坑路2-6號2-7號","02-24685466"
"https://twcoupon.com/brandshop-18338-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%96%b0%e6%9a%96%e6%9d%b1%e9%96%80%e5%b8%82.html","新暖東門市","基隆市暖暖區暖暖街175號177號1樓","02-24580719"
"https://twcoupon.com/brandshop-18477-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%9a%96%e9%91%ab%e9%96%80%e5%b8%82.html","暖鑫門市","基隆市暖暖區暖暖街554號","02-24585245"
"https://twcoupon.com/brandshop-18687-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e7%a2%87%e5%85%a7%e9%96%80%e5%b8%82.html","碇內門市","基隆市暖暖區源遠路158號160號","02-24586443"
"https://twcoupon.com/brandshop-18503-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%ba%90%e9%81%a0%e9%96%80%e5%b8%82.html","源遠門市","基隆市暖暖區源遠路294號296號298號1樓","02-24575289"
"https://twcoupon.com/brandshop-18476-7_11-%e5%9f%ba%e9%9a%86%e5%b8%82-%e6%9a%96%e7%a2%87%e9%96%80%e5%b8%82.html","暖碇門市","基隆市暖暖區碇內街9號11號","02-24595262"
"https://twcoupon.com/brandshop-17212-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a3%ab%e6%9d%b1%e9%96%80%e5%b8%82.html","士東門市","台北市士林區士東路42號1樓","02-28314732"
"https://twcoupon.com/brandshop-16765-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%87%e6%9e%97%e9%96%80%e5%b8%82.html","文林門市","台北市士林區大北路14號16號1樓","02-28810417"
"https://twcoupon.com/brandshop-18019-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%b0%e5%a3%ab%e6%9e%97%e9%96%80%e5%b8%82.html","新士林門市","台北市士林區大東路123號125號1樓","02-28835732"
"https://twcoupon.com/brandshop-16722-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%a9%e7%9c%9f%e9%96%80%e5%b8%82.html","天真門市","台北市士林區中山北路七段141巷6之1號1樓","02-28728894"
"https://twcoupon.com/brandshop-15834-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%9d%b1%e6%b4%8b%e9%96%80%e5%b8%82.html","東洋門市","台北市士林區中山北路七段14巷19號B1","02-28753409"
"https://twcoupon.com/brandshop-16716-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%a9%e6%9d%b1%e9%96%80%e5%b8%82.html","天東門市","台北市士林區中山北路七段14巷2-1號","02-28734093"
"https://twcoupon.com/brandshop-16729-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%a9%e8%a3%95%e9%96%80%e5%b8%82.html","天裕門市","台北市士林區中山北路七段156號1樓","02-28724419"
"https://twcoupon.com/brandshop-18163-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%b0%e5%bf%a0%e8%aa%a0%e9%96%80%e5%b8%82.html","新忠誠門市","台北市士林區中山北路六段18號20號1樓","02-28314978"
"https://twcoupon.com/brandshop-16013-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e7%a4%be%e9%91%bd%e9%96%80%e5%b8%82.html","社鑽門市","台北市士林區中正路639號1樓","02-28137115"
"https://twcoupon.com/brandshop-16711-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%a9%e5%8c%97%e9%96%80%e5%b8%82.html","天北門市","台北市士林區天母里天母西路39-1號1樓","02-28760659"
"https://twcoupon.com/brandshop-16728-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%a9%e8%b6%8a%e9%96%80%e5%b8%82.html","天越門市","台北市士林區天母東路50巷25號","02-28724484"
"https://twcoupon.com/brandshop-17091-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e4%b8%89%e7%8e%89%e9%96%80%e5%b8%82.html","三玉門市","台北市士林區天母東路88之1號1樓","02-28744580"
"https://twcoupon.com/brandshop-16720-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%a9%e7%be%8e%e9%96%80%e5%b8%82.html","天美門市","台北市士林區天母東路8巷96號98號","02-28762701"
"https://twcoupon.com/brandshop-16732-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%a9%e9%91%ab%e9%96%80%e5%b8%82.html","天鑫門市","台北市士林區天玉街10號","02-28764547"
"https://twcoupon.com/brandshop-16730-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%a9%e7%a6%8f%e9%96%80%e5%b8%82.html","天福門市","台北市士林區天福里天母東路8巷39號天母東路8巷41弄1號","02-28762502"
"https://twcoupon.com/brandshop-18054-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%b0%e6%96%87%e9%96%80%e5%b8%82.html","新文門市","台北市士林區文昌路64號","02-28353709"
"https://twcoupon.com/brandshop-16607-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e4%b8%b9%e6%a8%ba%e9%96%80%e5%b8%82.html","丹樺門市","台北市士林區文林路530號","02-28314649"
"https://twcoupon.com/brandshop-16786-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%87%e5%ad%b8%e9%96%80%e5%b8%82.html","文學門市","台北市士林區光華路26巷10號1樓","02-28613776"
"https://twcoupon.com/brandshop-17845-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%8f%af%e5%b2%a1%e9%96%80%e5%b8%82.html","華岡門市","台北市士林區光華路26巷7-1號","02-28625528"
"https://twcoupon.com/brandshop-16414-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%87%b3%e5%96%84%e5%a4%a9%e4%b8%8b%e9%96%80%e5%b8%82.html","至善天下門市","台北市士林區至善路二段264號","02-28830232"
"https://twcoupon.com/brandshop-16415-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%87%b3%e8%aa%a0%e9%96%80%e5%b8%82.html","至誠門市","台北市士林區至誠路二段31號","02-28359740"
