route_id,route_name
0100000A00,0東
0100000B00,0南
0400089600,896
0400089700,897
0400089720,897區
0400089800,898
0400089900,899
0100090200,902
0100090220,902區
0100090300,903
0100090500,905
0100090510,905副
0400090600,906
0100090700,907
0100090790,907通勤
0400090800,908
0400090870,908延
0400090900,909
0400091000,910
0100091200,912
0400091300,913
0100091500,915
0400091600,916
0400091700,917
0400091800,918
0400091820,918區
0400091900,919
0400092000,920
0400092010,920副
0400092080,920A
0400092100,921
0400092200,922
0400092300,923
0400092500,925
0400092580,925A
0400092700,927
0400092790,927經台北港
0400092800,928
0400093000,930
0400093070,930延
0400093200,932
0400093270,932繞國家教育研究院
0400093300,933
0400093500,935
0400093600,936
0400093680,936A
0400093700,937
0400093710,937副
0400093780,937A
0400093800,938
0400093900,939
0400093910,939副
0463093900,939跳蛙
0400094000,940
0400094100,941
0400094300,943
0400094500,945
0400094600,946
0400094610,946副
0400094700,947
0400094800,948
0100094900,949
0100095000,950
0400095100,951
0400095200,952
0400095300,953
0400095320,953區
0100095500,955
0100095700,957
0415002700,958
0415002800,959
0415002900,960
0400096300,963
0400096500,965(台灣好行-九份金瓜石線)
0400096600,966
0400096610,966副
0400096680,966A
0400096700,967
0400096710,967副
0400096730,967直
0410098100,981
0410098200,982
0410098220,982區
0410098230,982直達
0410098240,982直達新埔線
0400098300,983
0100171700,1717
0100000B00,0南
0100000100,1
0400000800,8
0100000900,9
0100001200,12
0100001400,14
0100002000,20
0100002100,21
0100002200,22
0100003300,33
0100003900,39
0100003940,39夜
0100004100,41
0100004900,49
0400005100,51
0400005700,57
0400006200,62
0100006300,63
0100006600,66
0100007200,72
0100008800,88
0100008820,88區
0400009900,99
0100020200,202
0100020220,202區
0100020300,203
0100020400,204
0100020500,205
0100020600,206
0100020700,207
0100020800,208
0100020820,208區
0100020830,208直
0100021200,212
0100021230,212直
0100021400,214
0100021430,214直
0100021500,215
0100022400,224
0100022600,226
0100022700,227
0400023100,231
0100023400,234
0100023500,235
0100023620,236區
0400024100,241
0400024300,243
0400024500,245
0100024600,246
0100024700,247
0100024720,247區
0400024900,249
0100025300,253
0100026000,260
0100026200,262
0100026220,262區
0400026400,264
0100026700,267
0100026800,268
0100027000,270
